1.01017 48.78 13.49 3.45
1.01575 436.51 21.67 30.96
1.01668 775.1 34.91 55.03
1.01759 1208.81 56.31 85.9
1.01878 1869.15 67.51 132.75
1.01979 1795.79 53.83 127.55
1.02065 1293.85 47.91 91.89
1.02168 795.34 32.3 56.47
1.02327 447.17 17.39 31.74
1.02823 146.87 5.47 10.39
1.03384 67.85 2.7 4.84
1.03959 44.54 1.88 3.19
1.04981 27.47 1.42 1.99
1.05966 17.69 1.14 1.24
1.01034 39.28 12.99 2.74
1.01543 376.29 18.27 26.67
1.01678 795.1 37.01 56.51
1.01772 1284.19 59.44 91.19
1.01862 1824.55 69.53 129.57
1.01951 1899.42 55.34 134.88
1.02043 1461.6 50.63 103.79
1.02141 932.97 36.21 66.27
1.02232 578.56 25.62 41.11
1.02752 163.03 6.26 11.62
1.03358 74.32 2.7 5.3
1.03964 45.76 1.79 3.19
1.0496 29.55 1.42 2.08
1.05952 19.88 1.14 1.43
