1.00391 7.65 2.98 0.3
1.01017 45.84 6.19 1.83
1.01575 336.72 21.56 13.46
1.01668 568.0 27.78 22.72
1.01759 909.11 40.87 36.34
1.01878 1380.11 42.09 55.24
1.01979 1313.56 34.25 52.52
1.02065 925.62 31.29 37.04
1.02168 555.12 24.84 22.21
1.02327 305.99 14.52 12.27
1.02823 93.9 6.38 3.74
1.03384 41.97 3.72 1.68
1.03959 26.59 2.91 1.03
1.04981 12.6 1.99 0.76
1.05966 16.17 2.47 2.19
1.00371 7.35 2.88 0.3
1.01034 40.6 6.39 1.62
1.01543 306.28 18.27 12.22
1.01678 610.37 29.33 24.48
1.01772 1003.08 42.92 40.13
1.01862 1412.87 45.12 56.57
1.01951 1438.37 33.87 57.59
1.02043 1063.57 33.16 42.56
1.02141 650.04 27.89 26.03
1.02232 400.58 21.07 16.01
1.02752 112.38 7.08 4.54
1.03358 51.53 3.91 2.05
1.03964 25.65 2.82 1.03
1.0496 14.21 1.99 0.85
1.05952 13.31 2.38 1.81
