1.01027 42.89 5.24 0.73
1.01709 658.31 16.28 11.19
1.01814 1069.66 37.28 18.18
1.01896 1277.47 32.24 21.72
1.01921 1291.73 37.71 21.96
1.01999 1189.92 25.71 20.23
1.02013 1193.67 37.24 20.29
1.02185 536.87 29.20 9.13
1.02397 258.07 13.17 4.39
1.00425 18.40 9.79 0.31
1.01086 53.97 7.67 0.92
1.01637 433.50 38.28 7.37
1.01719 655.44 49.99 11.14
1.01806 999.53 55.15 16.99
1.01900 1322.36 24.95 22.48
1.02000 1150.41 45.14 19.56
1.02096 811.47 40.51 13.79
1.02188 535.04 34.73 9.10
1.02770 115.46 9.43 1.96
1.03363 61.69 7.97 1.05
1.03948 35.61 5.85 0.61
1.00464 13.51 4.57 0.23
1.01130 54.14 3.56 0.92
1.01599 378.50 30.55 6.43
1.01693 611.59 46.75 10.40
1.01791 1006.14 53.17 17.10
1.01904 1342.10 24.98 22.82
1.01995 1127.91 44.75 19.17
1.02086 770.24 39.35 13.09
1.02174 522.59 31.87 8.88
1.02267 364.38 26.86 6.19
1.02836 93.58 8.91 1.59
1.03406 50.31 7.24 0.86
1.00419 12.32 1.76 0.21
1.01130 57.87 7.02 0.98
1.01591 370.78 28.70 6.30
1.01694 656.40 49.79 11.16
1.01792 1078.38 55.49 18.33
1.01876 1344.75 23.70 22.86
1.01968 1219.37 41.92 20.73
1.02068 866.39 42.87 14.73
1.02160 558.39 31.15 9.49
1.02259 371.98 23.77 6.32
1.02841 93.75 7.70 1.59
