1.01047 69.87 0.50 1.4
1.01296 152.45 1.01 3.0
1.01507 341.10 5.11 6.8
1.01611 575.08 3.84 11.5
1.01715 993.19 5.02 19.9
1.01716 984.71 8.89 19.7
1.01805 1584.27 11.00 31.7
1.01912 2228.59 8.13 44.6
1.01921 2230.81 18.14 44.6
1.01940 2233.66 22.07 44.7
1.01990 2127.07 6.46 42.5
1.02122 1325.01 9.01 26.5
1.02131 1308.31 12.50 26.2
1.02208 933.95 6.81 18.7
1.02274 710.23 5.86 14.2
1.02326 595.03 6.56 11.9
1.02532 334.77 5.55 6.7
1.02796 191.64 1.74 3.8
1.02909 159.94 2.95 3.2
1.03391 89.65 1.24 2.5
1.04003 55.87 0.94 1.6
1.04986 34.47 0.47 0.96
1.05086 33.89 0.84 0.95
1.05995 25.93 0.64 0.73
