0.0409 0.93 0.03
0.0491 0.90 0.04
0.0572 0.89 0.05
0.0654 0.85 0.06
0.0736 0.79 0.07
0.0818 0.90 0.09
0.0899 0.67 0.10
0.0981 0.77 0.13
0.1063 0.76 0.16
0.1145 0.90 0.23
