1.08 6.86 0.43 0.69
1.12 2.86 0.30 0.29
1.16 1.78 0.24 0.18
1.20 1.48 0.23 0.15
1.24 0.87 0.18 0.10
1.28 0.54 0.14 0.10
1.32 0.54 0.15 0.10
1.36 0.40 0.13 0.10
1.40 0.22 0.11 0.09
1.44 0.32 0.12 0.08
1.48 0.36 0.11 0.08
1.52 0.66 0.13 0.08
1.56 0.67 0.13 0.08
1.60 0.84 0.12 0.08
1.64 0.83 0.13 0.08
1.68 0.51 0.11 0.08
1.72 0.26 0.11 0.08
1.76 0.11 0.07 0.06
1.80 0.03 0.05 0.02
1.84 0.04 0.04 0.02
1.88 0.02 0.04 0.01
1.92 0.07 0.05 0.04
1.96 0.09 0.05 0.05
2.00 0.02 0.03 0.01
2.04 0.02 0.03 0.01
2.08 0.00 0.03 0.01
2.12 0.01 0.02 0.01
2.16 0.02 0.03 0.01
