1.004066 6.83 0.42 0.12
1.010466 42.82 0.48 0.77
1.012955 99.93 1.03 1.8
1.015068 231.85 5.3 4.19
1.016105 392.19 3.57 7.08
1.017155 682.23 3.2 12.32
1.017156 678.55 10.74 12.27
1.018046 1077.79 4.63 19.49
1.019118 1437.17 6.12 25.91
1.019214 1443.46 15.14 26.01
1.019421 1414.1 18.13 25.47
1.019902 1254.71 4.43 22.63
1.021222 717.12 4.21 12.97
1.021309 694.05 8.9 12.57
1.022078 499.85 3.46 9.04
1.022744 382.56 3.78 6.92
1.023264 328.37 4.62 5.93
1.02532 177.61 4.43 3.2
1.027956 105.53 1.55 1.9
1.02909 88.86 2.75 1.61
1.033907 46.65 1.17 0.84
1.040028 29.38 0.95 0.53
1.049864 16.04 0.47 0.28
1.050862 16.56 0.89 0.29
1.059947 11.5 0.68 0.21
