1.020443 48.78 13.49 3.45
1.031748 436.51 21.67 30.96
1.033638 775.1 34.91 55.03
1.035489 1208.81 56.31 85.9
1.037913 1869.15 67.51 132.75
1.039972 1795.79 53.83 127.55
1.041726 1293.85 47.91 91.89
1.04383 795.34 32.3 56.47
1.047081 447.17 17.39 31.74
1.057257 146.87 5.47 10.39
1.068825 67.85 2.7 4.84
1.080747 44.54 1.88 3.19
1.102101 27.47 1.42 1.99
1.122879 17.69 1.14 1.24
1.020787 39.28 12.99 2.74
1.031098 376.29 18.27 26.67
1.033842 795.1 37.01 56.51
1.035754 1284.19 59.44 91.19
1.037587 1824.55 69.53 129.57
1.039401 1899.42 55.34 134.88
1.041277 1461.6 50.63 103.79
1.043278 932.97 36.21 66.27
1.045138 578.56 25.62 41.11
1.055797 163.03 6.26 11.62
1.068288 74.32 2.7 5.3
1.080851 45.76 1.79 3.19
1.10166 29.55 1.42 2.08
1.122583 19.88 1.14 1.43
