1.007835 7.65 2.98 0.3
1.020443 45.84 6.19 1.83
1.031748 336.72 21.56 13.46
1.033638 568.0 27.78 22.72
1.035489 909.11 40.87 36.34
1.037913 1380.11 42.09 55.24
1.039972 1313.56 34.25 52.52
1.041726 925.62 31.29 37.04
1.04383 555.12 24.84 22.21
1.047081 305.99 14.52 12.27
1.057257 93.9 6.38 3.74
1.068825 41.97 3.72 1.68
1.080747 26.59 2.91 1.03
1.102101 12.6 1.99 0.76
1.122879 16.17 2.47 2.19
1.007434 7.35 2.88 0.3
1.020787 40.6 6.39 1.62
1.031098 306.28 18.27 12.22
1.033842 610.37 29.33 24.48
1.035754 1003.08 42.92 40.13
1.037587 1412.87 45.12 56.57
1.039401 1438.37 33.87 57.59
1.041277 1063.57 33.16 42.56
1.043278 650.04 27.89 26.03
1.045138 400.58 21.07 16.01
1.055797 112.38 7.08 4.54
1.068288 51.53 3.91 2.05
1.080851 25.65 2.82 1.03
1.10166 14.21 1.99 0.85
1.122583 13.31 2.38 1.81
