1.008149 6.83 0.42 0.12
1.021042 42.82 0.48 0.77
1.026078 99.93 1.03 1.8
1.030363 231.85 5.3 4.19
1.032469 392.19 3.57 7.08
1.034604 682.23 3.2 12.32
1.034606 678.55 10.74 12.27
1.036418 1077.79 4.63 19.49
1.038601 1437.17 6.12 25.91
1.038797 1443.46 15.14 26.01
1.039219 1414.1 18.13 25.47
1.0402 1254.71 4.43 22.63
1.042894 717.12 4.21 12.97
1.043072 694.05 8.9 12.57
1.044643 499.85 3.46 9.04
1.046005 382.56 3.78 6.92
1.047069 328.37 4.62 5.93
1.051281 177.61 4.43 3.2
1.056694 105.53 1.55 1.9
1.059026 88.86 2.75 1.61
1.068964 46.65 1.17 0.84
1.081658 29.38 0.95 0.53
1.102214 16.04 0.47 0.28
1.104311 16.56 0.89 0.29
1.123488 11.5 0.68 0.21
