1.007835 7.65 0.99 0.3
1.020443 34.48 2.84 1.42
1.031748 314.31 14.19 13.24
1.033638 554.6 22.27 23.25
1.035489 879.54 35.33 36.99
1.037913 1349.17 35.11 56.7
1.039972 1298.42 22.61 54.51
1.041726 924.65 26.63 38.89
1.04383 571.57 19.1 24.01
1.047081 312.51 10.17 13.13
1.057257 98.55 3.65 4.1
1.068825 48.39 1.95 2.05
1.080747 29.13 1.41 1.32
1.102101 15.53 0.85 0.85
1.122879 10.46 0.67 0.67
1.007434 6.66 0.99 0.3
1.020787 34.21 2.74 1.42
1.031098 282.48 11.9 11.9
1.033842 576.39 23.48 24.26
1.035754 950.92 37.05 40.02
1.037587 1340.38 38.36 56.35
1.039401 1392.02 21.08 58.47
1.041277 1038.7 27.28 43.62
1.043278 658.19 21.2 27.66
1.045138 408.75 15.22 17.21
1.055797 113.74 3.81 4.81
1.068288 50.97 1.86 2.14
1.080851 27.81 1.32 1.22
1.10166 16.58 0.85 0.85
1.122583 11.13 0.67 0.67
